Elementary,Intermediate ,Advanced
"Glastonbury Festival wants to fight a war against
plastic water bottles. They plan to become the
world’s most environmentally friendly outdoor
music event.","Glastonbury Festival is declaring war on the
plastic water bottle as part of a long-term plan to
become the world’s most environmentally friendly
outdoor music event.","Glastonbury Festival is to combat the scourge
of the plastic water bottle as part of a longterm
strategy to become the world’s most
environmentally friendly outdoor music event."
"Each year, disposable bottles leave the Somerset
festival site covered in plastic. About one million
plastic bottles are used during the festival.","Festival organizers are targeting the disposable
bottle, one of the most obvious symbols of the
throwaway culture, that each year leaves the
900-acre festival site covered in plastic. An
estimated one million plastic bottles are used
during the festival.","Festival organizers are targeting the disposable
bottle, one of the most conspicuous symbols of
the throwaway culture, that each year leaves the
900-acre Somerset site wreathed in plastic, with
an estimated one million plastic bottles being
used during the festival."
"The festival organizers will give stainless-steel
reusable bottles to all band members. Thousands
more bottles will go on sale to festival-goers
to stop them using plastic bottles. Organizers
have asked the 140,000 festival-goers to bring
reusable bottles that they can fill at 400 drinking
water taps across the site.","Stainless-steel reusable bottles will be given to
2,000 road crew and band members. Thousands
more will go on sale to festival-goers to stop them
relying on plastic bottles. The 140,000 ticketholders
are also being asked to bring reusable
bottles that they can fill at 400 drinking-water taps
across the site.","Stainless-steel reusable bottles will be given
to 2,000 road crew and band members, with
thousands more on sale to festival-goers, to
stop them relying on plastic bottles. The 140,000
ticket-holders are also being urged to bring
reusable bottles that they can fill at 400 drinkingwater
taps dotted across the site."
"Lucy Smith, Glastonbury’s green issues
organizer, said: “We have amazing water quality
in the UK but everyone drinks bottled water.”","Lucy Smith, Glastonbury’s green issues
organizer, said: “We have amazing water quality
in the UK but everyone is obsessed with drinking
bottled water.”","Lucy Smith, Glastonbury’s green issues
organizer, said: “We have amazing water quality
in the UK but everyone is obsessed with drinking
bottled water.”"
"There is currently 150 million tonnes of plastic
rubbish around the planet and oceans, poisoning
ecosystems and killing wildlife.","She said that, in 2015, Glastonbury also plans
to replace all plastic glasses and cutlery with
reusable items.","She said the initiative precedes a plan for
Glastonbury 2015 to replace all plastic beer
glasses and cutlery with reusable items in an
attempt to eradicate the legacy of plastic waste
from the huge rural site."
"The festival organizers hope to make Glastonbury
the world’s greenest music festival. They want
to be like America’s Burning Man festival in the
Black Rock Desert of Nevada, where people
have to take away everything that they take to
the festival.","Environmentalists say that there is currently
150 million tonnes of plastic waste around the
planet and oceans, poisoning ecosystems and
killing wildlife.","Environmentalists estimate that 150 million
tonnes of plastic waste currently litters the
planet and oceans, poisoning ecosystems and
killing wildlife."
"Organizers have also asked Glastonbury
festival-goers to travel to the site on public
transport or to share a car with friends. “We want
to be as environmentally friendly as we can,”
said Smith.","Ultimately, festival organizers hope to make
Glastonbury the world’s greenest greenfield
festival. They want to be like America’s Burning
Man festival in the Black Rock Desert of Nevada,
which is a “leave-no-trace” event, where people
have to take away all that they bring.","Ultimately, festival organizers hope to make
Glastonbury the world’s greenest greenfield
festival, emulating America’s Burning Man festival
in the Black Rock Desert of Nevada, which is a
“leave-no-trace” event, where people have to
take away all that they bring."
"Plastic water bottles can take hundreds or even
thousands of years to completely biodegrade.
Millions of barrels of oil are used to make plastic
bottles and transporting mineral water across the
planet produces even more carbon emissions.","Glastonbury festival-goers are also being asked
to travel to the site on public transport or to
try car-sharing with friends. “We want to be as
sustainable as we can. We do everything we can,
but the litter of 140,000 people is a challenge. We
can’t put bins everywhere,” added Smith.","Glastonbury revellers are also being urged
to travel to the site on public transport or try
car-sharing with friends. “We want to be as
sustainable as we can. We do everything we can,
but coping with the litter of 140,000 people is a
challenge. We can’t put bins everywhere,”
added Smith"
"Around 13 billion plastic water bottles are
sold in the UK every year, but only one in five
is recycled.","Plastic water bottles can take hundreds or even
thousands of years to completely biodegrade.
Their manufacture makes their negative
ecological impact even worse. Millions of barrels
of oil are used in the manufacture of plastic
bottles and the transportation of mineral water
across the planet produces even more
carbon emissions.","Campaigners say that plastic water bottles
can take hundreds or even thousands of
years to completely biodegrade, with their
manufacture exacerbating their negative
ecological impact. Millions of barrels of oil are
used in the manufacture of plastic bottles and the
transportation of mineral water across the planet
produces even more carbon emissions."
"Smith said that festival-goers should not buy
bottled water; they should use the water on tap,
which comes from big underground reservoirs.
The charity WaterAid will also set up water kiosks
around the site. They will sell reusable bottles
and cups and offer free refills.","Around 13 billion plastic water bottles are
sold in the UK every year, but only one in five
is recycled.","Overall, an estimated 13 billion plastic water
bottles are sold in the UK every year, yet just one
in five is said to be recycled."
"Organizers say that almost half of all the rubbish
left at the site was recycled in 2013. They also
say that there will be 15,000 bins for recycling
across the festival site in 2014.","Smith said that, instead of buying bottled water,
festival-goers should take advantage of the water
on tap, which comes from huge underground
reservoirs. The charity WaterAid will also set up
water kiosks around the site, which will stock
reusable bottles and cups and offer free refills.","Smith said that, instead of buying bottled water,
festival-goers should take advantage of the
water on tap, which is being drawn from huge
underground reservoirs, instead of old-fashioned
water tanks that provided heavily chlorinated
drinking water. The charity WaterAid will also
set up water kiosks around the site, stocking
reusable bottles and cups, and offering free
refills. In 2015, the kiosks – modelled on those
found in Africa – will double as DJ booths
at night."
,"Organizers say that almost half of all the rubbish
left on site was recycled in 2013 and add that
there will be 15,000 bins for recycling across the
festival grounds in 2014.","Organizers say that almost half of all the rubbish
left on site was recycled in 2013 and add that
there will be 15,000 bins for recycling across the
festival grounds in 2014."
,"Even though it is becoming more environmentally
friendly, critics say that Glastonbury is becoming
increasingly corporate. Iron Maiden’s Bruce
Dickinson said he would never bring his band to
Glastonbury Festival, which he called “the most
bourgeois thing on the planet”.","Despite its growing eco-credentials, critics
continue to snipe at Glastonbury, accusing it of
becoming increasingly corporate in tone. The
latest critic, Iron Maiden’s Bruce Dickinson, has
vowed never to bring his band to Glastonbury
Festival after dismissing it as “the most bourgeois
thing on the planet”."
,,"The weather forecast for Glastonbury was
positive, with the festival due to be sunny and dry,
experts ruling out a repeat of 1985, the festival’s
windiest year; 1997, its muddiest; and 2005,
known as the “year of thunder”."
