Elementary,Intermediate ,Advanced
"A long time ago, cinema audiences were taken to a galaxy far, far away.","A long time ago, cinema audiences were transported to a galaxy far, far away.","A long time ago, cinema audiences were transported to a galaxy far, far away: one where imperial cruisers battled rebel  ghters, where droids rubbed circuits with Wookiees and where a spaceship called the Millennium Falcon could make the Kessel Run in less than 12 parsecs."
"That was 1977 but, in 2015, just before its seventh  lm, interest in Star Wars is not slowing down. Now, there is news of a new  lm about Han Solo and of a reappearance for Darth Vader.","That was 1977 but, in 2015, as the franchise plans to release its seventh  lm, interest in Star Wars shows no sign of slowing down. Now, there is news of a new  lm about Han Solo and of a reappearance for Darth Vader.","That was 1977 but, in 2015, as the franchise approaches its seventh big-screen instalment, interest in Star Wars shows no sign of abating – now, there is news of a new  lm about Han Solo and of a reappearance for Darth Vader."
"“Fans around the world are always waiting for new poster art, new trailers and other information,” said Paul Dergarabedian, senior media analyst. “I don’t think any other movie franchise could cause this much excitement.”","“Many fans around the world are constantly waiting for the release of new poster art,new trailers and other information,” said Paul Dergarabedian, a senior media analyst. “It’s hard to imagine any other movie franchise that could cause this much enthusiasm and excitement.”","“Countless fans around the world are in a constant state of vigilance waiting for the release of new poster art, new trailers and other information,” said Paul Dergarabedian, senior media analyst at box-of ce monitor Rentrak. “It’s hard to imagine any other movie franchise that could evoke such a level of passion, enthusiasm and excitement.”"
"The latest Star Wars mania started after Disney bought Lucas lm from Star Wars creator, George Lucas, in 2012. After Disney paid $4 billion for Lucas lm, it announced that there would be three more Star Wars  lms – VII, VIII and IX – plus plans for spin-off movies.","The latest Star Wars mania started after Disney’s purchase of Lucas lm from the  lm’s creator, George Lucas, in 2012. Disney paid $4bn for Lucas lm and very soon announced that there would be three more Star Wars “episodes” – VII, VIII and IX – plus plans for spin-off moviesand “standalones”.","The latest Star Wars mania dates from the Hollywood studio Disney’s purchase of Lucas lm from the  lm’s creator, George Lucas, in 2012; the $4bn acquisition was accompanied byan announcement of three more sequential “episodes” – VII, VIII and IX – plus then unspeci ed plans for spin-off movies and “stand- alones” to  ll the gaps in the release schedule."
"They have now announced details of thesecond spin-off. It is a story about Han Solo, the character played by Harrison Ford in the  rst three  lms. This second new  lm will be released in May 2018.","Details of the second spin-off have now been made public. It is a story about Han Solo, the intergalactic smuggler played by Harrison Ford in the  rst three  lms. This second new  lm will be released in May 2018.","Details of the second spin-off have now been made public: an “origins story” about Han Solo, the intergalactic smuggler played by Harrison Ford in the  rst three  lms, which is scheduled to be released in May 2018."
"Before that, they will release Episode VII in December 2015, directed by JJ Abrams and called Star Wars: The Force Awakens. Episode VIII will come out in 2017 and a spin-off called Rogue One will arrive in cinemas in 2016.","It will follow the release in December 2015 of Episode VII, directed by JJ Abrams and titled Star Wars: The Force Awakens. The unnamed Episode VIII is due out in 2017 and a spin-off, Rogue One, will arrive in cinemas in 2016.","It will follow the release in December 2015 of Episode VII, directed by JJ Abrams and titled Star Wars: The Force Awakens, the unnamed Episode VIII due out in 2017 and the already announced spin-off, Rogue One, which will arrive in cinemas in 2016."
"Lots of people are very interested in the rumour that Darth Vader, the villain from the original  lms, will reappear in Rogue One. This interest shows the power of Star Wars.","That movie will outline a rebel mission to steal the plans of the Death Star, a key part of the story in the  rst  lm in 1977. There was lots of interest in the rumour that Darth Vader, the black-clad villain of the original series, will reappear in Rogue One. The interest con rms the power of StarWars nostalgia.","That movie will outline a rebel mission to steal the plans of the Death Star, a key plot element of the  rst  lm in 1977. Levels of interest in the rumour that Rogue One will also feature the reappearance of Darth Vader, the black-clad villain of the original series, only con rmed the power of Star Wars nostalgia."
"Lucas lm-Disney are creating a cinema “universe” around Star Wars, with many different characters and stories. They are doing the same thing as the very successful  lms produced by Marvel Studios. Disney also bought them,in 2009.","In creating a multi-storyline, multi-character cinema “universe” around Star Wars, Lucas lm-Disney are copying the phenomenally successful series of  lms produced by Marvel Studios, which Disney also bought, in 2009.","In creating a multi-stranded, multi-character cinema “universe” around Star Wars, Lucas lm-Disney are taking their cue from the phenomenally successful series of  lms produced by Marvel Studios, which Disney also acquired,in 2009."
Disney knows a lot about marketing: Dergarabedian says the decision to make all six existing Star Wars  lms available on streaming services is “a brilliant way to make people excited about the new  lm”.,Disney has increased the level of marketing savvy to a product that was already popular: Dergarabedian says the decision to make all six existing Star Wars  lms available on streaming services is “a brilliant way to build the excitement for the new  lm and reinvigorate the idea of Star Wars in the minds of the fans”.,"Disney has brought a whole new level of marketing savvy to an already popular product: Dergarabedian cites the decision to make all six existing Star Wars  lms available on streaming services as “a brilliant way to buildthe anticipation for the new  lm and reinvigorate the idea of Star Wars in the minds of the fans”."
"There has been much enthusiasm for Star Wars for at least twenty years. This is shown by the huge number of novels, comic books,video games and merchandising that Lucas lm has created.","But, it is not certain that it needs reinvigorating. The level of enthusiasm that has surrounded Star Wars for at least the last twenty years is shown by the huge number of novels, comic books, video games and merchandising that Lucas lm has created over the years.","Whether it needs reinvigorating is questionable. The level of enthusiasm that has surrounded Star Wars for at least the last two decades is evidenced by what has become known as the “Expanded Universe”: the plethora of novels, comic books, video games and merchandising that Lucas lm has created or licensed over "
