Elementary,Intermediate ,Advanced
Worst thing about the job: When you are testing the security of a new customer’s network and you  nd that they have already been hacked.,Worst thing about the job: When you are called in to test the security of a new customer’s network and you discover that they have already been hacked.,Worst thing about the job: When you are called in to test the security of a new customer’s network only to discover that they have already been the victim of a data breach.
"Bomb-disposal diverTypical salary: In the private sector, you can earn up to £100,000 working just two months out of every three.","Bomb-disposal diverTypical salary: In the private sector, you can earn up to £100,000 working just two months out of every three.","Bomb-disposal diverTypical salary: In the private sector, you can earn up to £100,000 working just two months out of every three."
"What the job involves: You descend to the sea bed and look for unexploded bombs and mines. Then, you safely collect the weapons or safely dispose of them.","What the job involves: Descending to thesea bed and searching for unexploded bombs, shells, grenades and landmines, then either safely recovering and collecting the weapons or securely disposing of them.","What the job involves: Descending to the sea bed and searching for unexploded ordnance (bombs, shells, grenades and landmines),then either safely recovering and collecting the weapons or securely disposing of them."
"Quali cations: To dive offshore, you must have diving quali cations. To be able to dispose of the bombs safely, you’ll also need a special quali cation and years of experience.","Quali cations: To dive offshore, you must have diving quali cations. To be able to dispose of the bombs safely, you’ll also need an explosive- disposal quali cation and years of experience.","Quali cations: To dive offshore, you musthave diving-inspection and medical-technician quali cations. To be able to dispose of the bombs safely, you’ll also need an explosive ordnance disposal quali cation and years of experience."
"To succeed as a bomb-disposal diver, you need ... to be calm in stressful situations. You work alone under water, with zero visibility and, if you don’t like living in small spaces with lots of other people, this job is not for you.","To succeed as a bomb-disposal diver, you need ... to stay calm in stressful situations. You work alone under water, with zero visibility and, if you don’t like living in small con ned spaces with lots of other people, forget it.","To succeed as a bomb-disposal diver, you need ... to stay calm in stressful situations. You work on your own at depth, with nil visibility and, if you don’t like living in small con ned spaces with lots of other people, forget it."
Worst thing about the job: You will be away from home for at least six months of the year.,Worst thing about the job: Expect to be away from home at least six months of the year.,Worst thing about the job: Expect to be away from home at least six months of the year.
"Social engineerTypical salary: Graduates start on £25,000. Yoursalary will rise to between £50,000 and £80,000.","Social engineerTypical salary: Graduates start on £25,000 but salaries increase rapidly with quali cations and experience, rising to between £50,000 and £80,000, on average.","Social engineerTypical salary: Between £50,000 and £80,000, on average. Graduates start on £25,000 but salaries increase rapidly with quali cations and experience."
The job: Companies pay a social engineer to try to trick their employees and make them give the engineer secret information.,The job: Companies pay a social engineer to try to trick employees into giving them con dential information that allows the engineer to access sensitive company data or the company’s computer network.,The job: A social engineer is paid by a company to try to trick its employees into divulging con dential information that allows the engineer to access sensitive company data or the company’s computer network.
"Quali cations: Usually, social engineers have a degree in IT but an understanding of psychology is also useful.","Quali cations: Typically, social engineers have a degree in IT, although an understanding of psychology is useful. ","Quali cations: Typically, social engineers have a degree in IT, although an understanding of psychology is useful, as is a background in marketing, teaching and customer service."
"To succeed as a social engineer, you need ...to be a good liar. You also need to have strong personal ethics and to understand the law.","To succeed as a social engineer, you need... the con dence to lie convincingly and the ability to  t in almost anywhere without looking too out of place. You also need a strong sense of personal ethics and an understanding of the law.","To succeed as a social engineer, you need... the con dence to lie convincingly and the ability to  t in almost anywhere without looking too out of place. You also need a strong sense of personal ethics and an understanding of the law."
Worst thing about the job: Other people may misunderstand your job: social engineers are not spies but most people think they are.,Worst thing about the job: Other people may misunderstand your job: social engineers are not spies but most people think they are.,Worst thing about the job: Other people may misunderstand your job: social engineers are not spies but most people think they are.
"Power-line helicopter pilot Typical salary: £65,000","Power-line helicopter pilotTypical salary: £65,000","Power-line helicopter pilotTypical salary: £65,000"
The job: To  y close to power lines in a helicopter so that someone can check the lines with a camera.,The job: To  y close to high-voltage power lines in a helicopter so that the lines can be inspected with a camera and any potential faults and issues can be identi ed by the power company.,The job: To  y close to high-voltage power lines in a helicopter so that the lines can be inspected with a camera and any potential faults and issues can be identi ed by the power company.
"Quali cations: A private-helicopter-pilot licence, a commercial pilot’s licence and around 2,000 hours of experience  ying at low levels.","Quali cations: A private-helicopter-pilot licence, a commercial pilot’s licence and around 2,000 hours of experience  ying at low levels.","Quali cations: A private-helicopter-pilot licence, a commercial pilot’s licence and around 2,000 hours of experience  ying at low levels in the type of helicopter the company usually uses."
"To succeed as a power-line helicopter pilot, you need ... a steady hand and to stay calm in dif cult situations. Pilots often have to  y next to the power line, sometimes as little as 20 feet away and just 30 feet off the ground.","To succeed as a power line helicopter pilot, you need ... a steady hand and a cool head. Typically, pilots must  y beside the power line, sometimes as little as 20 feet away and just 30 feet off the ground.","To succeed as a power-line helicopter pilot, you need ... a steady hand and a cool head. Typically, pilots must  y beside the power line, sometimes as little as 20 feet away and just 30 feet off the ground."
"Worst thing about the job: “There are no negatives,” says helicopter pilot Robin Tutcher.","Worst thing about the job: “There are no negatives,” says helicopter pilot Robin Tutcher.","Worst thing about the job: “There are no negatives,” says Robin Tutcher, chief helicopter pilot for Western Power Distribution overhead- power network."
"Private butlerTypical salary: £60,000 to £90,000","Private butlerTypical salary: £60,000 to £90,000","Private butlerTypical salary: £60,000 to £90,000"
"The job: An employer can ask a private butler to do anything from managing other staff, serving at every meal, running errands and looking after guests to booking restaurants, house security, housekeeping and cooking.","The job: A private butler can be called on by his or her employer to do anything from wardrobe management to chauffeuring and pet care. Typical duties include managing other staff, serving at every meal, running errands, looking after guests, booking restaurants, house security, housekeeping, cooking and anything else the household needs.","The job: A private butler can be called on by his or her employer to do anything from wardrobe management to chauffeuring and pet care. Typical duties include managing other staff, serving at every meal, running errands, looking after guests, booking restaurants, house security, housekeeping, cooking and anything else the household needs."
Quali cations: You don’t need any quali cations but you can do a special course.,Quali cations: You don’t need any speci c quali cations but you can do a special course.,Quali cations: You don’t need any speci c quali cations but can do a course at the British Butler Academy or the British Butler Institute.
"To succeed as a butler, you need ... to enjoy looking after other people.","To succeed as a butler, you need ... to enjoy looking after other people.","To succeed as a butler, you need ... the mindset of someone who genuinely thrives on looking after others."
Worst thing about the job: Long hours and an unpredictable work schedule mean it’s dif cult to have a family life.,"Worst thing about the job: Long hours and an unpredictable work schedule mean it’s dif cult to have a family life. Butlers also suffer from isolation, cultural differences with their employer and having to work for people who aren’t always nice.","Worst thing about the job: Long hours and an unpredictable work schedule mean it’s dif cultto have a family life. Butlers also suffer from isolation, cultural differences with their employer and “having to work for people who aren’t always nice”, says Sara Vestin, director of the British Butler Academy."
