Elementary,Intermediate ,Advanced
"“If we don’t win, it doesn’t mean anything,” said billionaire Donald Trump in South Carolina. He hopes to be the Republican presidential nominee. He is worried he might not win but he shouldn’t be worried because he has been at the top ofthe opinion polls for four months. “I want to pick my date for the election. I want it next Tuesday,” he told a crowd of 11,000 people. He needs their support to continue until March 2016 so he is chosen as the presidential candidate in November 2016’s general election.","“Unless we win, it doesn’t mean a damn thing,” said billionaire Donald Trump, the man who wants to be the Republican presidential nominee, at a campaign rally in South Carolina. He said this despite  nishing his fourth month in a row at the top of the opinion polls. “I want to pick my date for the election. I want it next Tuesday,” he con ded to the crowd of 11,000 people. He has a lot of grassroots support, which he needs to continue until March 2016 for him to win the nominationto be the presidential candidate in November’s general election.","Striding on stage, Donald Trump had a surprisingly humble confession to make for someone defying all the laws of political gravity."
"Strangely, recent controversy has only made him more popular.","Trump is not the only one beginning to think it possible that his surprising campaign can go the distance, particularly because recent controversy only seems to have con rmed his lead over his rivals. Usually, any one of these outbursts would have destroyed a politician by now.","“Unless we win, it doesn’t mean a damn thing,” the would-be Republican presidential nominee warned a campaign rally in South Carolina, despite  nishing his fourth month in a row at the top of the opinion polls. “I want to pick my date for the election. I want it next Tuesday,” he con ded to the 11,000-strong crowd – typical of the grassroots support thatneeds to  ourish into March 2016 for him to win the nomination, let alone November’s general election."
"First, he shocked prisoners of war when he said that he didn’t believe Vietnam veteran John McCain was a hero because he allowed the enemy to capture him. Then, in the  rst television debate, he was rude to a woman who asked him dif cult questions.","First, he outraged prisoners of war by doubting the heroism of Vietnam veteran John McCain because he allowed himself to be captured. Then, there was the  rst television debate, where he insulted Fox News moderator, Megyn Kelly, because she asked him dif cult questions.","Such moments of self-doubt are  eeting, quickly replaced by the now-familiar bombast of a billionaire whose status as a “winner” has become his de ning policy platform."
Trump has also insulted Mexican immigrants to the US and said that a Black Lives Matter protester who was violently thrown out of a political meeting deserved to be attacked. He seemed to laugh at a New York Times journalist for his disability and said Muslim Americans supported the 9/11 attackers.,"It seems that making prisoners of war, Fox News and women angry was not enough. Trump has also insulted Mexican immigrants to the US, claimed that a Black Lives Matter protester who was violently thrown out of a rally deserved to be “roughed up”, appeared to laugh at a New York Times journalist for his disability and falsely accused Muslim Americans of supporting the 9/11 attackers.","Trump is not the only one beginning to wonder whether his improbable campaign can confoundthe pundits and go the distance, particularly after a burst of recent controversy only seemed to cement his polling lead over bewildered rivals. Conventional wisdom holds that any one of these outbursts would have sunk most politicians by now."
"Some people still hope that, eventually, even Trump’s supporters will get tired of his attackson minorities. One poll shows his support among Republicans has reduced by 12 points – although, at 31%, he is still winning.","Trump has complained that many of these incidents were exaggerated by the political media, 70% of whom, he says, are “scum”. But, he has refused to retract any of the comments.","First, there was the time he outraged prisoners of war by doubting the heroism of Vietnam veteran John McCain because he allowed himself to be captured. Then, there was the  rst television debate, where he insulted Fox News moderator, Megyn Kelly, because she asked him dif cult questions."
"“He’s not a conservative, he’s not a liberal – he believes in himself,” former presidential rival, Bobby Jindal, told the Guardian.","Some rivals still hope that, eventually, even Trump’s supporters will get tired of his attackson minorities. One poll shows his support among Republicans has reduced by 12 points – although, at 31%, he is still in the lead.","As if PoWs, Fox News and women were not enemies enough, Trump has also insulted Mexican immigrants to the US, claimed that a Black Lives Matter protester who was violently ejected froma rally deserved to be “roughed up”, appeared to mock a New York Times journalist for his disability and falsely accused Muslim Americans of cheering on the 9/11 attackers."
"Trump tells his supporters that the three things that he is most against – immigration reform, free- trade deals and Barack Obama’s national security policy – have become the most important issues of the election.","“He is an egomaniac; he’s a narcissist. He’s not a conservative, he’s not a liberal – he believes in himself,” former presidential rival, Bobby Jindal, told the Guardian, before he left the race.","Trump has complained that many of these incidents were exaggerated by the political media, 70% of whom, he says, are “scum”. But, he has nonetheless refused to retract any of the comments. “I could have said, ‘Oh, I misspoke’, but I am not big on that,” Trump told the crowd in South Carolina."
"He believes that every undocumented immigrant in the US should be sent back to their country and he wants to ask Mexico to pay for a border wall – “A real wall. A very tall wall, taller than that ceiling.” This might not sound possible but these ideas have possibly destroyed the campaign hopes of Jeb Bush, who wants immigration reform.","But, there is more to Trump than attention- grabbing outrage. As he is happy to tell supporters, the three things that he is most against – immigration reform, free-trade deals and Barack Obama’s national security policy – have become perhaps the most important issues of the election.","Some rivals still hope that, eventually, even Trump’s supporters will tire of what critics view as his relentless attacks on minorities in particular. One poll shows his support among Republicans down by 12 points – although, at 31%, he still leads the"
"So what can stop Trump? Often, polls this far away from election day can be incorrect because most people have not made up their minds. Among Americans who say they are Republicans, current polls say that he has 25-30% of the vote.","His policies for deporting every undocumented immigrant in the US and demanding that Mexico pays for a border wall – “A real wall. A very tall wall, taller than that ceiling.” – might sound unrealistic but they have destroyed the campaign hopes of Jeb Bush, who favours immigration reform.","Other opponents question whether there is much overarching political ideology to Trump. “Heis an egomaniac; he’s a narcissist. He’s not a conservative, he’s not a liberal – he believes in himself,” former presidential rival, Bobby Jindal, told the Guardian, shortly before dropping out of the"
"Steve Deace, an Iowa conservative, said that Trump’s behaviour is “both a good and a bad thing. On the one hand, it creates loyal supporters who love Trump’s personality. On the other hand, it means he cannot change that personality.”","So what can stop Trump? One reason for hope among opponents is the strong evidence that polls this far away from election day can be incorrect, simply because most people have not made up their minds how to vote yet. Among Americans who say they are Republicans, current polls suggest he has 25-30% of the vote.","Liz Mair, a Republican strategist organizing an anti- Trump fundraising committee, worries that many of the comments seen as gaffes by the liberal media are, in fact, carefully designed to boost his standing with his core constituency. “I personally think it’s best that people who don’t like Trump and his policies do some work to try to actively undercut him,” she says. “And not just pray for him to commit real political suicide.”"
"Republican Frank Luntz believes Trump speaks for voters who, for the  rst time, feel as if they havea mouthpiece and like the fact that they feel like they are heard. He says, “Trump says what they’re thinking and, the more outrageous he is, the more they agree with him. He’s saying what no politician would say and that’s another reason they like him.”","In the political battle for hearts and minds, converting Trump’s passionate supporters will be hard. It is hard to imagine anyone being a better ‘Trump’ than Trump.","Yet, there is more to Trump than attention-grabbing outrage. As he delights in telling supporters, the three issues that he rails against most – immigration reform, free-trade deals and Barack Obama’s national security policy – have become perhaps the de ning issues of the election."
That is certainly the feeling among ordinary supporters who go to his very crowded campaign events.,"This scenario can be best understood by looking at responses to the question: “Which candidates would you de nitely not support for the Republican nomination for president?” While 20-30% of voters say they would support Trump, another 20-30% say they de nitely would not.","His policies for deporting every undocumented immigrant in the US and demanding that Mexico pays for a border wall – “A real wall. A very tall wall, taller than that ceiling.” – might sound unrealistic but they have arguably destroyed the campaign hopes of Jeb Bush, who favours immigration reform."
"“I like the way he speaks,” says Sandra Murray of Dubuque, Iowa. “This country is a big mess and he could be the man to help us.”","Steve Deace, an Iowa conservative, said that Trump’s behaviour is “both a good and a bad thing. On the one hand, it produces loyal fans that are attracted to his personality. On the other hand, it limits his ability to grow beyond that.”","So what might it take to stop Trump? One source of optimism among opponents is the strong evidence that polls this far away from election day are an average of eight percentage points out, simply because most people have not made up their minds. Among Americans who identify as Republicans, current polls suggest he has 25-30% of the vote."
Other supporters offer a simpler explanation. “He’s not afraid of anybody or anything. That’s cool.”,"Top Republican pollster, Frank Luntz, believes Trump speaks for voters who, for the  rst time, feel as if they have a mouthpiece and like the fact that they feel like they are heard. He says, “Trump says what they’re thinking and, the more outrageous he is, the more they agree with him. He’s saying what no politician would say and that’s another reason they like him.”","In the battle for hearts and minds, converting Trump’s passionate supporters will be hard. To blunt his lead, another candidate would need to tap into his support base without jeopardizing their own. Polling experts believe this to be unlikely, as it is hard to imagine anyone doing Trump better than Trump, let alone anyone doing Trump without sacri cing their own support. "
,That is certainly the feeling among ordinary supporters who have attended his increasingly packed campaign events recently.,"This scenario can be best understood by looking at responses to the question: “Are there any of these candidates you would de nitely not support for the Republican nomination for president?” While 20-30% of voters say they would support Trump, another 20-30% say they de nitelywould not."
," “I like the way he speaks,” says Sandra Murray of Dubuque, Iowa. “This country is a big mess and, honestly, he could be the man to help us.”","Steve Deace, a prominent Iowa conservative, said that Trump’s antics are “both a good and a bad thing. On one hand, it produces a loyal following that is attracted to that persona which will not leave you. On the other hand, it limits your ability to grow beyond that.”"
, Other supporters offer a simpler explanation. “He’s not afraid of anybody or anything. That’s pretty cool.”,"Top Republican pollster, Frank Luntz, believes Trump speaks for voters who, for the  rst time, feel as if they have a mouthpiece and like the fact that they feel like they are being heard. As the pollster notes: “Trump says what they’re thinking and, the more outrageous he is, the more they agree with him. He’s saying what no politician would say and that’s another reason they like him.”"
,,"That is certainly the feeling among ordinary supporters who have attended his increasingly packed campaign events in recent months."
,,"“I like the way he speaks,” says Sandra Murray of Dubuque, Iowa. “This country is a huge mess and we need to get out of this and, honestly, he could be the man to do it.”"
,,Other supporters offer a simpler explanation. “He’s not afraid of anybody or anything. That’s pretty cool.”
