Elementary,Intermediate ,Advanced,
"JMW Turner, one of Britain’s greatest painters,
will be on the new £20 note, after a national vote.","JMW Turner, one of Britain’s greatest painters,
will appear on the new £20 note, after a
nationwide vote.","JMW Turner, one of Britain’s greatest painters,
is to be the face of the new £20 note, following a
nationwide vote.",
"It will be the first time an artist is on a British
banknote. The governor of the Bank of England,
Mark Carney, asked the public to say which
deceased cultural person they wanted to see on
the new banknote.","It will be the first time an artist has appeared
on a British banknote, after the governor of the
Bank of England, Mark Carney, asked the public
to choose a deceased cultural figure they felt
deserved to be on the banknote.","It will be the first time an artist has appeared
on a British banknote, after the governor of the
Bank of England, Mark Carney, asked the public
to nominate a deceased cultural figure they felt
deserved the high honour.",
"Turner, who is famous for his paintings of the
sea, won the vote. There was a list that included
590 painters, sculptors, fashion designers,
photographers, film-makers and actors. Thirty
thousand members of the public suggested the
people on the list.","Turner, who is famous for his dramatic
seascapes, beat off competition from 590
painters, sculptors, fashion designers,
photographers, film-makers and actors put
forward by 30,000 members of the public.","Turner, renowned for his dramatic seascapes,
beat off competition from 590 painters, sculptors,
fashion designers, photographers, film-makers
and actors put forward by 30,000 members of
the public.",
"The list included Alfred Hitchcock, Alexander
McQueen, Derek Jarman, Laura Ashley, William
Morris and Vanessa Bell.","The list included Alfred Hitchcock, Alexander
McQueen, Derek Jarman, Laura Ashley, William
Morris and Vanessa Bell. This list was narrowed
down to a final choice of five by a panel of artists,
critics and historians.","The list included Alfred Hitchcock, Alexander
McQueen, Derek Jarman, Laura Ashley, William
Morris and Vanessa Bell, which was then
narrowed down by a panel of artists, critics and
historians to a final choice of five.",
"The final five – Barbara Hepworth, Charlie
Chaplin, Josiah Wedgwood, William Hogarth
and Turner – were chosen because of their
importance to the visual arts and British society
and because of their influence.","The final five – Barbara Hepworth, Charlie
Chaplin, Josiah Wedgwood, William Hogarth
and Turner – were chosen because of their
“unquestioned” contribution to both the visual arts
and British society, as well as their
enduring influence.","The final five – Barbara Hepworth, Charlie
Chaplin, Josiah Wedgwood, William Hogarth
and Turner – were selected on the basis of their
“unquestioned” contribution to both the visual arts
and British society as a whole, as well as their
enduring influence.",
"They made the announcement about the new
banknote at the Turner Contemporary gallery in
Margate. Carney and the artist Tracey Emin, who
grew up in the town, made the
announcement together.","The announcement of the new banknote was
made at the Turner Contemporary gallery in
Margate. The announcement was made jointly by
Carney and the artist Tracey Emin, who grew up
in the town.","Fittingly, the announcement of the new banknote
was made at the Turner Contemporary gallery
in Margate, which stands on the former site of
Mrs Booth’s lodging house, where Turner would
always stay when he visited. The announcement
was made jointly by Carney and the artist Tracey
Emin, who grew up in the town.",
"Carney said that banknotes are not just
practical – they “can be a piece of art in
everyone’s pocket”.","Carney said it had been “so important to get this
right and have a proper process that involved the
public.” He added that banknotes are not only a
practical necessity – they “can be a piece of art in
everyone’s pocket”.","Carney said it had been “so important to get this
right and have a proper process that involved the
public,” adding that, far from banknotes being
purely a practical necessity, “if done
properly, they can be a piece of art in
everyone’s pocket”.",
"The note will show Turner’s 1799 self-portrait and
also one of Turner’s most famous paintings, The
Fighting Temeraire, a painting of a ship that had
an important role in Nelson’s victory at the Battle
of Trafalgar in 1805.","“The fact that we will have Turner on the £20
note shows that the British people are a nation of
people who appreciate creativity and appreciate
the arts,” said Emin.","“Money is memory for a country and its people,”
said the Bank of England governor. “Banknotes of
the Bank of England are a celebration of the UK’s
heritage, a salute to its culture, a testament to its
great achievements, including those of its most
notable citizens. In short, money has not just
economic value, it has cultural value as well.",
"The note will also inlude a quote from the artist –
“light is therefore colour” – and his signature. The
signature is from his will, in which he left many of
his paintings to Britain.","The note will show Turner’s 1799 self-portrait,
as well as one of his most famous works, The
Fighting Temeraire, the ship that played an
important role in Nelson’s victory at the Battle of
Trafalgar in 1805.","“The fact that we will have Turner on the £20 note
shows now that the British people are a nation of
people who appreciate creativity and appreciate
the arts,” said Emin.",
"Historical people first appeared on banknotes
in 1970. Turner, and also Winston Churchill and
Jane Austen, will appear on the new polymer
notes – a plastic-type material. Churchill is on the
£5 and Austen is on the £10 note. The new £20
note will appear by 2020.","The note will also contain a quote from the
artist – “light is therefore colour” – as well as his
signature. The signature is from his will, in which
he left many of his paintings to the nation.","The note will feature Turner’s 1799 self-portrait,
which currently hangs in Tate Britain, as well as
one of his most recognizable works, The Fighting
Temeraire, a tribute to the ship that played a
distinguished role in Nelson’s victory at the Battle
of Trafalgar in 1805.",
